timestamp,t,pp,ml,e,tk,ts,ls,ti,c,ft,v,oi,ltq,tbq,tsq,bp1,sp1,bp2,sp2,bp3,sp3,bp4,sp4,bp5,sp5,bq1,sq1,bq2,sq2,bq3,sq3,bq4,sq4,bq5,sq5,bo1,so1,bo2,so2,bo3,so3,bo4,so4,bo5,so5,52h,52l,uc,lc,lp,pc,o,h,l,ap,ltt,_id
2023-08-11 15:41:08.400827,dk,2,1,MCX,253460,CRUDEOIL21AUG23,100,1.00,6873.00,1691748668,5493,6665,1,698,425,6880.00,6882.00,6879.00,6883.00,6878.00,6884.00,6877.00,6885.00,6876.00,6886.00,7,4,26,8,11,13,20,14,14,8,6,4,9,6,8,8,7,9,8,7,7028.00,5574.00,7147.00,6599.00,6881.00,0.12,6862.00,6883.00,6814.00,6852.70,15:41:04,
2023-08-11 15:41:14.618105,df,,,MCX,253460,,,,,1691748674,5495,,,,424,,,,,,,,,,,,2,,6,,13,,,,,,2,,4,,8,,,,,,,,,6882.00,0.13,,,,6852.71,15:41:14,
2023-08-11 15:41:17.363021,dk,2,1,MCX,253460,CRUDEOIL21AUG23,100,1.00,6873.00,1691748676,5497,6667,1,705,424,6881.00,6883.00,6880.00,6884.00,6879.00,6885.00,6878.00,6886.00,6877.00,6887.00,25,2,9,12,9,14,24,15,10,5,8,2,7,7,5,9,10,11,6,4,7028.00,5574.00,7147.00,6599.00,6882.00,0.13,6862.00,6883.00,6814.00,6852.72,15:41:16,
2023-08-11 15:41:31.072991,df,,,MCX,253460,,,,,1691748691,5503,,1,682,456,6879.00,6880.00,6878.00,6881.00,6877.00,6882.00,6876.00,6883.00,6875.00,6884.00,,13,14,8,,13,12,9,15,,,8,8,6,5,8,7,8,10,9,,,,,6880.00,0.10,,,,6852.76,15:41:30,
2023-08-11 15:41:31.074990,df,,,MCX,253460,,,,,1691748691,5503,,1,682,456,6879.00,6880.00,6878.00,6881.00,6877.00,6882.00,6876.00,6883.00,6875.00,6884.00,,13,14,8,,13,12,9,15,,,8,8,6,5,8,7,8,10,9,,,,,6880.00,0.10,,,,6852.76,15:41:30,
2023-08-11 15:41:34.823081,df,,,MCX,253460,,,,,1691748694,5504,6666,,675,456,6878.00,6879.00,6877.00,6880.00,6876.00,6881.00,6875.00,6882.00,6874.00,6883.00,11,6,20,13,12,6,14,13,19,8,6,4,6,8,7,4,9,10,,7,,,,,6879.00,0.09,,,,,15:41:34,
2023-08-11 15:41:34.825082,df,,,MCX,253460,,,,,1691748694,5504,6666,,675,456,6878.00,6879.00,6877.00,6880.00,6876.00,6881.00,6875.00,6882.00,6874.00,6883.00,11,6,20,13,12,6,14,13,19,8,6,4,6,8,7,4,9,10,,7,,,,,6879.00,0.09,,,,,15:41:34,
2023-08-11 15:41:46.074193,df,,,MCX,253460,,,,,1691748706,5505,,,,468,6876.00,,6875.00,,6874.00,,6873.00,,6872.00,,27,10,9,,11,,24,14,6,12,9,9,7,,7,,11,7,5,9,,,,,6877.00,0.06,,,,,15:41:46,
2023-08-11 15:41:46.077188,df,,,MCX,253460,,,,,1691748706,5505,,,,468,6876.00,,6875.00,,6874.00,,6873.00,,6872.00,,27,10,9,,11,,24,14,6,12,9,9,7,,7,,11,7,5,9,,,,,6877.00,0.06,,,,,15:41:46,
2023-08-11 15:41:49.199223,df,,,MCX,253460,,,,,1691748709,5517,6678,,666,457,6877.00,6879.00,6876.00,6880.00,6875.00,6881.00,6874.00,6882.00,6873.00,6883.00,12,6,17,10,7,13,11,10,23,10,7,4,,7,5,6,7,7,10,,,,,,6878.00,0.07,,,,6852.82,15:41:49,
